id;test;ctrl;valence;time;q1;q2;q3;q4;q5;q6;q7;q8;q9;q10;q11;q12;age;gender;income;work;car;edu;device;day;hour
0;1;7;3;3066;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;6;6;1;1645;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;3;7;4;2149;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;5;7;5;2592;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;4;5;5;1636;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;4;7;2;2180;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;1;6;1;1711;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;5;6;2;1750;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;3;5;5;1493;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;2;5;5;1990;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;4;7;4;2156;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;6;7;4;2495;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;2;6;2;1927;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;1;5;5;1749;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;6;5;4;2348;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;5;7;5;1806;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;2;7;2;2262;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;6;7;3;1783;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;6;5;4;2584;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;5;5;5;1466;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;1;7;5;2519;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;3;6;2;2099;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;5;7;3;2444;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;6;7;4;2068;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;5;6;3;2003;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;2;7;4;1777;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;5;7;5;1392;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;3;7;3;1975;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;4;6;2;1935;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;5;5;5;1599;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;6;7;2;2031;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
0;6;6;2;2293;7;7;6;7;7;4;7;7;4;5;1;5;14.0;0.0;2.0;0.0;1.0;1.0;0;0;17
1;6;7;4;1241;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;6;6;3;1565;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;5;5;5;1412;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;5;6;2;1563;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;1;7;4;1480;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;1;5;5;1265;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;5;6;1;1293;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;2;7;4;1822;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;5;7;3;1698;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;6;7;3;1648;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;3;6;3;1569;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;5;7;4;1361;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;2;7;5;1392;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;4;5;5;1289;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;6;7;4;1721;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;4;6;1;1327;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;2;5;4;1401;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;5;7;4;1364;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;4;7;3;1528;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;1;7;4;1219;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;3;7;4;1458;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;3;7;4;1662;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;6;6;3;1446;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;3;5;5;1280;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;6;5;4;1435;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;5;5;5;1233;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;6;5;5;1155;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;1;6;1;1518;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;6;7;3;1614;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
1;2;6;1;1407;3;4;6;6;3;3;3;3;1;2;4;6;20.0;1.0;2.0;1.0;1.0;3.0;0;0;17
